No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
161,"1,7,7-trimethylbicyclo[2.2.1]heptan-6-ol",8.722633923,83697-03-4,CC1(C)C2CCC1(C)C(O)C2,,,https://doi.org/10.1021/acs.est.1c04326,cyclo,Aromatic & PAHs
162,"1,7,7-trimethylbicyclo[2.2.1]heptan-6-ol",8.7226,6627-72-1,C1COCCO1,,,https://doi.org/10.1016/j.jhazmat.2025.138202,alcohol,Oxygenated organics
163,"1,7,8-trimethylbenzo[g]pteridine-2,4-dione",9.8451,18950-64-6,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3C,,,https://doi.org/10.1016/j.jhazmat.2025.138071,alkane,Aliphatic hydrocarbons
164,"1,7,8-trimethylbenzo[g]pteridine-2,4-dione",9.8451,18950-64-6,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3C,,,https://doi.org/10.1016/j.jhazmat.2025.137908,alkane,Aliphatic hydrocarbons
165,"1,7,8-trimethylbenzo[g]pteridine-2,4-dione",9.8451,18950-64-6,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3C,,,https://doi.org/10.1016/j.jhazmat.2025.138287,alkane,Aliphatic hydrocarbons
166,"1,7,8-trimethylbenzo[g]pteridine-2,4-dione",9.84509804,18950-64-6,O=C(N1)N(C)C2=NC3=CC(C)=C(C)C=C3N=C2C1=O,,,https://doi.org/10.1021/acs.est.1c04326,cyclo,Aromatic & PAHs
167,1-Bromo-2-chlorobenzene,8.84509804,1208077-22-8,Clc1ccccc1Br,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
168,1-Bromo-2-chlorobenzene,8.8451,694-80-4,C1=CC=C(C(=C1)Cl)Br,,,https://doi.org/10.1016/j.jhazmat.2025.138016,halogeneted,Halogenated organics
169,1-Bromo-2-methylbenzene,9.3617,95-46-5,CC1=CC=CC=C1Br,,,https://doi.org/10.1016/j.jhazmat.2025.137961,cyclo,Aromatic & PAHs
170,1-Bromo-2-methylbenzene,9.361727836,1700550-43-1,Cc1ccccc1Br,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
171,1-Bromo-3-methylbenzene,9.2304,591-17-3,CC1=CC(=CC=C1)Br,,,https://doi.org/10.1016/j.jhazmat.2025.137982,alkane,Aliphatic hydrocarbons
172,1-Bromo-3-methylbenzene,9.230448921,1369833-16-8,Cc1cccc(Br)c1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
173,1-Bromo-4-methylbenzene,9.0,1700550-43-1,Cc1ccc(Br)cc1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
174,1-Bromo-4-methylbenzene,9.0,106-38-7,CC1=CC=C(C=C1)Br,,,https://doi.org/10.1016/j.jhazmat.2025.138003,alkane,Aliphatic hydrocarbons
175,1-BuOH,7.908485019,71-36-3,,,,NIST,alcohol,Oxygenated organics
176,1-CHLORO-3-METHOXYBENZENE,10.07918125,1261808-32-5,COc1cccc(Cl)c1,,,https://doi.org/10.1021/acs.est.1c04326,alcohol,Oxygenated organics
177,1-Chloro-2-(chloromethyl)benzene,8.84509804,640296-73-7,ClCc1ccccc1Cl,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
178,1-Chloro-2-(chloromethyl)benzene,8.8451,11-19-8,C1=CC=C(C(=C1)CCl)Cl,,,https://doi.org/10.1016/j.jhazmat.2025.138015,halogeneted,Halogenated organics
179,1-Chloro-2-(trifluoromethyl)benzene,8.0,1208079-27-9,FC(F)(F)c1ccccc1Cl,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
