No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
16,?CBBP*,0.94,8.973127854,13080-78-9,O=C(C1=CC=C(O)C=C1)C2=CC=CC=C2,10.0,25.0,https://doi.org/10.1021/acs.est.3c02458,cyclo,Aromatic & PAHs
17,Benzophenone,2.54,9.404833717,119-61-9,O=C(c1ccccc1)c1ccccc1,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,benzene,Aromatic & PAHs
18,Acetophenone,3.33,9.522444234,98-86-2,CC(=O)c1ccccc1,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,benzene,Aromatic & PAHs
19,3'-Methoxyacetophenone,0.9,8.954242509,586-37-8,COc1cccc(C(C)=O)c1,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,alcohol,Oxygenated organics
20,Xanthone,1.78,9.250420002,90-47-1,O=c1c2ccccc2oc2ccccc12,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,alcohol,Oxygenated organics
21,2-Acetonaphthone,0.4,8.602059991,1993/8/3,CC(=O)c1ccc2ccccc2c1,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,benzene,Aromatic & PAHs
22,4-(4-aminophenyl)aniline,0.58,8.763427994,92-87-5,Nc1ccc(-c2ccc(N)cc2)cc1,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,cyclo,Aromatic & PAHs
23,2-Naphthaldehyde,0.34,8.531478917,66-99-9,O=Cc1ccc2ccccc2c1,7.0,25.0,https://doi.org/10.1021/acs.est.3c02458,benzene,Aromatic & PAHs
24,Methiocarb,,8.38,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,5.6,25.0,https://doi.org/10.1016/j.cej.2013.07.050,alcohol,Oxygenated organics
25,Methiocarb,,8.36,2032-65-8,CNC(=O)Oc1cc(C)c(SC)c(C)c1,6.0,25.0,https://doi.org/10.1016/j.cej.2013.07.051,alcohol,Oxygenated organics
26,Methiocarb,,8.34,2032-65-9,CNC(=O)Oc1cc(C)c(SC)c(C)c1,6.5,25.0,https://doi.org/10.1016/j.cej.2013.07.052,alcohol,Oxygenated organics
27,Methiocarb,,8.35,2032-65-10,CNC(=O)Oc1cc(C)c(SC)c(C)c1,7.0,25.0,https://doi.org/10.1016/j.cej.2013.07.053,alcohol,Oxygenated organics
28,Methiocarb,,8.08,2032-65-11,CNC(=O)Oc1cc(C)c(SC)c(C)c1,7.5,25.0,https://doi.org/10.1016/j.cej.2013.07.054,alcohol,Oxygenated organics
29,Methiocarb,,8.38,2032-65-11,CNC(=O)Oc1cc(C)c(SC)c(C)c1,,25.0,https://doi.org/10.1016/j.cej.2013.07.050,alcohol,Oxygenated organics
30,Microcystin-LR (MC-LR) - Hypochlorous acid (HOCl),,-1.82,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,6.0,11.0,"J. Environ. Eng. 2006, 132(7), 818-823",diol,Polyfunctional / highly functionalized
31,Microcystin-LR (MC-LR) - Hypochlorite ion (OCl?),,-2.14,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,7.0,11.0,"J. Environ. Eng. 2006, 132(7), 818-823",diol,Polyfunctional / highly functionalized
32,Microcystin-LR (MC-LR) - Hypochlorite ion (OCl?),,-2.59,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,8.0,11.0,"J. Environ. Eng. 2006, 132(7), 818-823",diol,Polyfunctional / highly functionalized
33,Microcystin-LR (MC-LR) - Hypochlorite ion (OCl?),,-2.92,101043-37-2,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,9.0,11.0,"J. Environ. Eng. 2006, 132(7), 818-823",diol,Polyfunctional / highly functionalized
34,3-Methylanisole (MA) - Hypochlorous acid,,-1.2,100-84-5,COc1cccc(C)c1,6.0,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
35,3-Methylanisole (MA) - Hypochlorous acid,,-1.6,100-84-5,COc1cccc(C)c1,7.0,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
36,3-Methylanisole (MA) - Hypochlorous acid,,-2.3,100-84-5,COc1cccc(C)c1,8.0,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
37,3-Methylanisole (MA) - Hypochlorous acid (HOCl),,-1.87,100-84-5,COc1cccc(C)c1,,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
38,"1,3-Dimethoxybenzene (DB) - Hypochlorous acid",,-0.9,151-10-0,COc1cccc(OC)c1,7.0,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
39,"1,3-Dimethoxybenzene (DB) - Hypochlorous acid",,-1.4,151-10-0,COc1cccc(OC)c1,8.0,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
40,"1,3-Dimethoxybenzene (DB) - Hypochlorous acid (HOCl)",,-0.1,151-10-0,COc1cccc(OC)c1,,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
41,"1,3,5-Trimethoxybenzene (TB) - Hypochlorous acid (HOCl)",,2.84,621-23-8,COc1cc(OC)cc(OC)c1,,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
42,"1,3,5-Trimethoxybenzene (TB) - Hypochlorous acid",,-0.1,621-23-8,COc1cc(OC)cc(OC)c1,7.5,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
43,"1,3,5-Trimethoxybenzene (TB) - Hypochlorous acid",,-0.5,621-23-8,COc1cc(OC)cc(OC)c1,8.5,20.0,https://doi.org/10.1021/es203094z,alcohol,Oxygenated organics
44,acrolein,2.7,0.431363764,107-02-8,C=CC=O,7.0,,https://dx.doi.org/10.1021/acs.est.0c07660,halogeneted,Halogenated organics
45,acrolein,8.6,0.934498451,107-02-8,C=CC=O,8.0,,https://dx.doi.org/10.1021/acs.est.0c07661,halogeneted,Halogenated organics
46,crotonaldehyde,0.96,-0.017728767,4170-30-3,CC=CC=O,7.0,,https://dx.doi.org/10.1021/acs.est.0c07662,alkane,Aliphatic hydrocarbons
47,crotonaldehyde,2.4,0.380211242,4170-30-3,CC=CC=O,8.0,,https://dx.doi.org/10.1021/acs.est.0c07663,alkane,Aliphatic hydrocarbons
48,trans-2-pentenal,0.54,-0.26760624,1576-87-0,CCC=CC=O,7.0,,https://dx.doi.org/10.1021/acs.est.0c07664,alkane,Aliphatic hydrocarbons
49,trans-2-pentenal,1.7,0.230448921,1576-87-0,CCC=CC=O,8.0,,https://dx.doi.org/10.1021/acs.est.0c07665,alkane,Aliphatic hydrocarbons
50,trans-2-hexenal,0.47,-0.327902142,6728-26-3,CCCC=CC=O,7.0,,https://dx.doi.org/10.1021/acs.est.0c07666,alkane,Aliphatic hydrocarbons
51,trans-2-hexenal,1.4,0.146128036,6728-26-3,CCCC=CC=O,8.0,,https://dx.doi.org/10.1021/acs.est.0c07667,alkane,Aliphatic hydrocarbons
52,trans-2-heptenal,0.46,-0.337242168,18829-55-5,CCCCC=CC=O,7.0,,https://dx.doi.org/10.1021/acs.est.0c07668,alkane,Aliphatic hydrocarbons
53,trans-2-heptenal,1.2,0.079181246,18829-55-5,CCCCC=CC=O,8.0,,https://dx.doi.org/10.1021/acs.est.0c07669,alkane,Aliphatic hydrocarbons
54,3-methyl crotonaldehyde,0.29,-0.537602002,107-86-8,CC(C)=CC=O,7.0,,https://dx.doi.org/10.1021/acs.est.0c07670,alkane,Aliphatic hydrocarbons
55,3-methyl crotonaldehyde,0.7,-0.15490196,107-86-8,CC(C)=CC=O,8.0,,https://dx.doi.org/10.1021/acs.est.0c07671,alkane,Aliphatic hydrocarbons
56,methyl vinyl ketone,0.09,-1.045757491,78-94-4,CC(C=C)=O,7.0,,https://dx.doi.org/10.1021/acs.est.0c07672,alkane,Aliphatic hydrocarbons
