No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1130,Propylphenazone,3.411619706,479-92-5,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C,8,,10.1002/ep.12306,cyclo,Aromatic & PAHs
1131,Purine,1.5,122714-66-3,c1ncc2nc[nH]c2n1,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1132,Pyrazole,1.748188027,288-13-1,C1=CNN=C1,7,,10.1039/C9EW01078E,cyclo,Aromatic & PAHs
1133,Pyrene,4.602059991,129-00-0,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,1~7,,NIST,cyclo,Aromatic & PAHs
1134,Pyrene,4.59,1718-52-1,c1cc2ccc3cccc4ccc(c1)c2c34,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1135,Pyridine,-2.0,58888-58-7,c1ccncc1,0.477121,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1136,Pyridine,0.477121,58888-58-7,c1ccncc1,7,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1137,Pyridine,0.39794,58888-58-7,c1ccncc1,5,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1138,Pyridine,-2.0,288-13-1,C1=CC=NC=C1,0.477121255,,10.1016/j.watres.2012.11.033,cyclo,Aromatic & PAHs
1139,Pyridine,0.397940009,288-13-1,C1=CC=NC=C1,5,,10.1016/j.watres.2012.11.033,cyclo,Aromatic & PAHs
1140,Pyridinium,-2.0,16969-45-2,C1=CC=[NH+]C=C1,,,NIST,cyclo,Aromatic & PAHs
1141,Pyrimidine,0.34,767-79-3,c1cncnc1,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1142,Pyrrolidone,9.342422681,28261-54-3,C1CC(=O)NC1,9,,10.1080/01919519908547257,cyclo,Aromatic & PAHs
1143,Quinoline,1.71,264920-37-8,c1ccc2ncccc2c1,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1144,Raffinose,0.361727836, 512-69-6,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,4,,NIST,diol,Polyfunctional / highly functionalized
1145,Ranitidine,6.612783857,66357-35-5,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,,,doi.org/10.1016/j.watres.2012.06.006,"sulfide, disulfide",Sulfur-containing organics
1146,Resorcinol++,5.477121255,108-46-3,OC1=CC=CC(O)=C1,2,,https://doi.org/10.1016/0043-1354(83)90098-2,alcohol,Oxygenated organics
1147,Rhamnose,0.041392685, 10485-94-6,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,4,,NIST,diol,Polyfunctional / highly functionalized
1148,Rhodamine B,1.2325,69319-23-9,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],,,10.1016/j.chemosphere.2014.05.068,alkane,Aliphatic hydrocarbons
1149,Ribonuclease,4.62324929,9001-99-4,O=C(O)CN1C(CCC1)C(O)=O,7,,NIST,halogeneted,Halogenated organics
1150,Ribose,0.342422681, 34466-20-1,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,4,,NIST,diol,Polyfunctional / highly functionalized
1151,S(IV),4.431363764,7704-34-9,[S],1,,NIST,"sulfide, disulfide",Sulfur-containing organics
1152,S(IV),5.041392685,7704-34-9,[S],2,,NIST,"sulfide, disulfide",Sulfur-containing organics
1153,S(IV),7.301029996,7704-34-9,[S],5.5,,NIST,"sulfide, disulfide",Sulfur-containing organics
1154,S(IV),6.77815125,7704-34-9,[S],5,,NIST,"sulfide, disulfide",Sulfur-containing organics
1155,S(IV),5.579783597,7704-34-9,[S],3,,NIST,"sulfide, disulfide",Sulfur-containing organics
1156,S(IV),6.113943352,7704-34-9,[S],4,,NIST,"sulfide, disulfide",Sulfur-containing organics
1157,S(IV),6.84509804,7704-34-9,[S],5.5,,NIST,"sulfide, disulfide",Sulfur-containing organics
1158,S(IV),6.301029996,7704-34-9,[S],4.4,,NIST,"sulfide, disulfide",Sulfur-containing organics
1159,S-(2-Acetamidoethyl)2-acetamidoethane-1-sulfinothioate,1.113943352,143765-02-0,O=C(SCCNC(C)=O)C1CCCCC1,7,,https://doi.org/10.1021/acs.est.5c01323,benzene,Aromatic & PAHs
1160,S2-,9.477121255,18496-25-8​ ,[S-2],,,,"sulfide, disulfide",Sulfur-containing organics
1161,S2O32-,7.84509804, 14383-50-7,S(=O)([O-])([O-])=S,,,NIST,"sulfide, disulfide",Sulfur-containing organics
1162,S2O32-,8.342422681, 14383-50-7,S(=O)([O-])([O-])=S,,,NIST,"sulfide, disulfide",Sulfur-containing organics
1163,S2O32-,7.698970004, 14383-50-7,S(=O)([O-])([O-])=S,7,,NIST,"sulfide, disulfide",Sulfur-containing organics
1164,SO32-,9.0, 14265-45-3,[O-]S(=O)[O-],,,NIST,"sulfide, disulfide",Sulfur-containing organics
1165,SO32-,9.176091259, 14265-45-3,[O-]S(=O)[O-],,,NIST,"sulfide, disulfide",Sulfur-containing organics
1166,SO32-,8.924279286, 14265-45-3,[O-]S(=O)[O-],,,NIST,"sulfide, disulfide",Sulfur-containing organics
1167,Saccharose,-0.920818754,57651-76-0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,2,,https://doi.org/10.1016/0043-1354(83)90098-2,diol,Polyfunctional / highly functionalized
