No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
40,4-Cyanobenzoate ion,,6.699,84877-66-7,N#Cc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138797,halogeneted,Halogenated organics
41,4-Hydroxybenzoate ion,,6.4472,456-23-5,C1=CC(=CC=C1C(=O)O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138798,halogeneted,Halogenated organics
42,4-Methyoxybenzoate ion,,8.301,14609-76-8,COc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138799,alcohol,Oxygenated organics
43,4-Phenoxybenzoate ion,,8.1761,1346567-64-3,O=C(OCC1=CC=CC=C1)C2=CC=C(NC(C)C)C(OC3=CC=CC=C3)=C2,,,https://doi.org/10.1016/j.chemosphere.2023.138800,cyclo,Aromatic & PAHs
44,p-Terephthalate ion,,6.7782,14609-76-8,O=C([O-])c1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138801,halogeneted,Halogenated organics
45,p-Toluate ion,,6.699,30591-44-7,Cc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138802,alkane,Aliphatic hydrocarbons
46,Clofibric acid,,8.1492,72072-47-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138803,alcohol,Oxygenated organics
47,Gallic acid,,8.8768,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138804,diol,Polyfunctional / highly functionalized
48,Paracetamol,,8.6355,58357-81-6,CC(=O)NC1=CC=C(C=C1)O,,,https://doi.org/10.1016/j.chemosphere.2023.138805,alkane,Aliphatic hydrocarbons
49,Diclofenac,,9.0615,146607-19-4,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138806,halogeneted,Halogenated organics
50,Naproxen,,8.8176,119166-66-4,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138807,alcohol,Oxygenated organics
